given_name,user_name,profile_link,association,followed_by,,
National SJP,nationalsjp,https://www.instagram.com/nationalsjp/,American University,@au_sjp,,
Yalies4Palestine,yalies4palestine,https://www.instagram.com/yalies4palestine/,American University,@au_sjp,,
Palestine Deep Dive,pdeepdivegram,https://www.instagram.com/pdeepdivegram/,American University,@au_sjp,,
US Campaign for Palestinian Rights,uscpr,https://www.instagram.com/uscpr/,American University,@au_sjp,,
The People's Forum,peoplesforumnyc,https://www.instagram.com/peoplesforumnyc/,American University,@au_sjp,,
SJP Houston 🇵🇸,sjphtx,https://www.instagram.com/sjphtx/,American University,@au_sjp,,
Radical Students’ Union,rsu.umw,https://www.instagram.com/rsu.umw/,American University,@au_sjp,,
Visible,visiblelgbt,https://www.instagram.com/visiblelgbt/,American University,@au_sjp,,
AU SASA,au.sasa,https://www.instagram.com/au.sasa/,American University,@au_sjp,,
Emerson SJP,sjpemerson,https://www.instagram.com/sjpemerson/,American University,@au_sjp,,
Noura Erakat 🍉,nouraerakat,https://www.instagram.com/nouraerakat/,American University,@au_sjp,,
Black Lives Matter,blklivesmatterVerified,https://www.instagram.com/blklivesmatter/,American University,@au_sjp,,
Metro DC Democratic Socialists,mdc_dsa,https://www.instagram.com/mdc_dsa/,American University,@au_sjp,,
SJP Binghamton,sjpbinghamton,https://www.instagram.com/sjpbinghamton/,American University,@au_sjp,,
🇵🇸SJP at Mason🇵🇸,sjp.mason,https://www.instagram.com/sjp.mason/,American University,@au_sjp,,
American University EESA 🇪🇹🇪🇷,americanueesa,https://www.instagram.com/americanueesa/,American University,@au_sjp,,
American Muslims for Palestine,ampalestine,https://www.instagram.com/ampalestine/,American University,@au_sjp,,
Zeytoun: A SWANA Alliance,zeytoungu,https://www.instagram.com/zeytoungu/,American University,@au_sjp,,
PSC @ IU,psc_iu,https://www.instagram.com/psc_iu/,American University,@au_sjp,,
Rally for Uyghur Rights,freetheuyghurss,https://www.instagram.com/freetheuyghurss/,American University,@au_sjp,,
UMW Students for Justice in Palestine 🇵🇸,umwsjp,https://www.instagram.com/umwsjp/,American University,@au_sjp,,
Gaza Poets Society,gazapoets,https://www.instagram.com/gazapoets/,American University,@au_sjp,,
,honorourmartyrs,https://www.instagram.com/honorourmartyrs/,American University,@au_sjp,,
MCPS for Palestine,mcps4palestine,https://www.instagram.com/mcps4palestine/,American University,@au_sjp,,
SJP at UVA,sjpuva,https://www.instagram.com/sjpuva/,American University,@au_sjp,,
UA Students for Justice in Palestine,sjpakron,https://www.instagram.com/sjpakron/,American University,@au_sjp,,
W&M Dissenters 🌊,wmdissenters,https://www.instagram.com/wmdissenters/,American University,@au_sjp,,
AU REPRO,au_repro,https://www.instagram.com/au_repro/,American University,@au_sjp,,
American University Student Government (AUSG),austudentgov,https://www.instagram.com/austudentgov/,American University,@au_sjp,,
"Museum of the Palestinian People | Washington, D.C.",museumpalestinianpeople,https://www.instagram.com/museumpalestinianpeople/,American University,@au_sjp,,
Palestinian Youth Movement,palestinianyouthmovement,https://www.instagram.com/palestinianyouthmovement/,American University,@au_sjp,,
ABPA Institute,abpa_dc,https://www.instagram.com/abpa_dc/,American University,@au_sjp,,
Holy Land Jewelry,holylandjewelry.ps,https://www.instagram.com/holylandjewelry.ps/,American University,@au_sjp,,
NYU SJP,nyu_sjp,https://www.instagram.com/nyu_sjp/,American University,@au_sjp,,
#ShutDownDC,shutdowndc_,https://www.instagram.com/shutdowndc_/,American University,@au_sjp,,
Eyewitness Palestine,eyewitnesspalestine,https://www.instagram.com/eyewitnesspalestine/,American University,@au_sjp,,
GW MSA,gwmsa,https://www.instagram.com/gwmsa/,American University,@au_sjp,,
The Red Nation,therednationmovement,https://www.instagram.com/therednationmovement/,American University,@au_sjp,,
SJP at ASU,sjpasu,https://www.instagram.com/sjpasu/,American University,@au_sjp,,
SJP at UC Davis,sjpatucd,https://www.instagram.com/sjpatucd/,American University,@au_sjp,,
Students for a Just Society,sjsatau,https://www.instagram.com/sjsatau/,American University,@au_sjp,,
